Cluster	Gene	FY23.SC_FY23.SC.1	FY23.SC_FY23.SC.2	FY23.YE_FY23.YE.1	FY23.YE_FY23.YE.2	FY24.SC_FY24.SC.1	FY24.SC_FY24.SC.2	FY24.YE_FY24.YE.1	FY24.YE_FY24.YE.2	Transcript
I_101150_101196_-	YAL025C__YAL025C	54.578	55.252	78.63	70.958	49.583	47.473	68.904	72.79	YAL025C_mRNA
I_101215_101225_-	YAL025C__YAL025C	0.698	0.432	0.758	0.79	0.205	0.374	0.587	0.888	YAL025C_mRNA
I_105942_106009_-	YAL024C__LTE1	21.253	16.834	18.568	17.468	14.988	14.298	14.486	13.907	YAL024C_mRNA
I_108603_108718_-	YAL023C__PMT2	61.164	64.64	63.189	62.273	61.491	61.304	61.76	58.883	YAL023C_mRNA
I_110379_110493_-	YAL022C__YAL022C	20.953	20.18	19.61	19.54	21.455	22.428	17.618	19.628	YAL022C_mRNA
I_11258_11391_+	YAL064W-B__YAL064W-B	5.089	4.856	4.074	2.961	3.593	4.299	3.328	2.663	YAL064W-B_mRNA
I_113359_113432_-	YAL021C__CCR4	45.299	47.266	46.326	44.904	46.606	42.894	40.227	37.973	YAL021C_mRNA
I_114570_114666_-	YAL020C__ATS1	24.046	24.28	21.6	22.896	24.33	22.335	17.422	20.713	YAL020C_mRNA
I_114787_114862_+	YAL019W-A__YAL019W-A	59.867	64.208	66.694	75.596	65.187	66.444	59.9	59.968	YAL019W-A_mRNA
I_114787_114862_+	YAL019W__YAL019W	59.867	64.208	66.694	75.596	65.187	66.444	59.9	59.968	YAL019W_mRNA
I_119828_119894_+	YAL017W__PSK1	16.064	16.834	8.053	11.448	17.144	14.952	10.473	10.159	YAL017W_mRNA
I_119952_119963_+	YAL017W__PSK1	1.197	1.619	0.853	1.086	0.924	1.308	1.664	0.986	YAL017W_mRNA
I_120102_120123_-	YAL018C__YAL018C	0.798	0.54	0.189	0.395	0.513	0.28	0.196	0.099	YAL018C_mRNA
I_124756_124872_+	YAL016W__TPD3	186.485	185.287	149.777	144.481	188.477	183.257	160.125	148.933	YAL016W_mRNA
I_127570_127575_-	YAL015C__NTG1	1.098	0.54	0.853	0.592	1.642	0.935	1.468	1.381	YAL015C_mRNA
I_127700_127704_-	YAL015C__NTG1	0	0.432	0.095	0	0.308	0.467	0.196	0.197	YAL015C_mRNA
I_127926_127938_-	YAL015C__NTG1	0.499	0.216	0.095	0.79	0.821	0.467	0.685	0.592	YAL015C_mRNA
I_128048_128102_-	YAL014C__SYN8	6.585	6.691	5.874	4.638	7.494	7.383	6.166	4.734	YAL014C_mRNA
I_128048_128102_-	YAL015C__NTG1	6.585	6.691	5.874	4.638	7.494	7.383	6.166	4.734	YAL015C_mRNA
I_129018_129117_-	YAL014C__SYN8	44.9	53.309	44.147	44.312	50.917	50.277	42.772	43.102	YAL014C_mRNA
I_129018_129117_-	YAL015C__NTG1	44.9	53.309	44.147	44.312	50.917	50.277	42.772	43.102	YAL015C_mRNA
I_129207_129256_+	YAL013W__DEP1	47.594	41.223	33.821	34.443	40.96	41.866	32.397	35.211	YAL013W_mRNA
I_130685_130758_+	YAL012W__CYS3	340.941	330.538	359.805	402.356	334.249	311.472	358.127	388.212	YAL012W_mRNA
I_131545_131547_+	YAL011W__SWC3	0.299	0.216	0.189	0.296	0.411	0.28	0.196	0.197	YAL011W_mRNA
I_131545_131547_+	YAL012W__CYS3	0.299	0.216	0.189	0.296	0.411	0.28	0.196	0.197	YAL012W_mRNA
I_132184_132208_+	YAL011W__SWC3	11.674	13.921	12.884	11.152	13.551	11.121	8.809	9.764	YAL011W_mRNA
I_135671_135723_-	YAL010C__MDM10	16.463	16.295	13.831	14.113	12.524	11.027	12.234	13.512	YAL010C_mRNA
I_135775_135780_+	YAL009W__YAL009W	0.998	0.324	1.042	1.48	1.129	1.589	0.685	0.789	YAL009W_mRNA
I_135802_135854_+	YAL009W__YAL009W	14.767	15.432	12.789	15.198	17.246	14.859	14.681	16.176	YAL009W_mRNA
I_136814_136922_+	YAL008W__YAL008W	84.711	89.352	53.336	52.7	86.437	87.47	55.593	54.444	YAL008W_mRNA
I_136814_136922_+	YAL009W__YAL009W	84.711	89.352	53.336	52.7	86.437	87.47	55.593	54.444	YAL009W_mRNA
I_138405_138453_-	YAL007C__YAL007C	135.798	132.841	142.103	138.659	148.03	145.316	139.473	140.056	YAL007C_mRNA
I_141472_141522_-	YAL005C__SSA1	635.086	554.782	406.605	411.337	537.611	545.38	392.188	387.423	YAL005C_mRNA
